x	ix	y	iy
0,006457	0,000005	0,430	0,005
0,01291	0,00001	0,860	0,005
0,005874	0,000006	0,401	0,005
0,01175	0,00001	0,798	0,005
0,01762	0,00002	1,181	0,005
0,004885	0,000007	0,344	0,005
0,00977	0,00001	0,678	0,005
0,01465	0,00002	0,998	0,005
0,01650	0,00003	1,083	0,005
0,01237	0,00002	0,845	0,005
0,00825	0,00002	0,572	0,005
0,004125	0,000008	0,297	0,005
0,00714	0,00002	0,510	0,005
0,01071	0,00003	0,710	0,005
0,01429	0,00004	0,950	0,005
0,01786	0,00005	1,161	0,005
0,01852	0,00009	1,202	0,005
0,01587	0,00008	1,052	0,005
0,01323	0,00006	0,861	0,005
0,01058	0,00005	0,680	0,005
